video_id,title,description,publish_date,duration_seconds,language,transcript_length,retrieved_at
--lPz7VFnKI,"Lec 39 | MIT 18.01 Single Variable Calculus, Fall 2007","Lecture 39: Final review
Instructor: David Jerison
View the complete course at: http://ocw.mit.edu/18-01F06

License: Creative Commons BY-NC-SA
More information at http://ocw.mit.edu/terms
More courses at http://ocw.mit.edu",2009-09-09,2354,en,25814,2026-06-25 15:50:27.282960
--Zi_cn4kPE,Laser fundamentals I: Spectrum of laser light | MIT Video Demonstrations in Lasers and Optics,"Laser fundamentals I: Spectrum of laser light
Instructor: Shaoul Ezekiel
View the complete course: http://ocw.mit.edu/RES-6-006S08

License: Creative Commons BY-NC-SA
More information at http://ocw.mit.edu/terms
More courses at http://ocw.mit.edu",2012-06-15,847,en,9109,2026-06-25 15:50:52.758299
-0_vZ4t-q0I,"Linear ODE's with Periodic Input | MIT 18.03SC Differential Equations, Fall 2011","Linear ODE's with Periodic Input
Instructor: David Shirokoff
View the complete course: http://ocw.mit.edu/18-03SCF11

License: Creative Commons BY-NC-SA
More information at http://ocw.mit.edu/terms
More courses at http://ocw.mit.edu",2012-01-04,674,en,6805,2026-06-25 15:51:48.191723
-05tcR4izaw,Seminar 3: Jessica Sommerville - Infants' Sensitivity to Cost and Benefit,"MIT RES.9-003 Brains, Minds and Machines Summer Course, Summer 2015
View the complete course: https://ocw.mit.edu/RES-9-003SU15
Instructor: Jessica Sommerville

Infants‰Ûª registration of effort-related costs in the actions of others, and its correlation with activation in sensorimotor cortex. Infants‰Ûª use of costs and benefits of actions to guide their own prosocial behavior.

License: Creative Commons BY-NC-SA
More information at https://ocw.mit.edu/terms
More courses at https://ocw.mit.edu",2018-04-03,2351,en,43521,2026-06-25 15:52:25.911206
-0pzpXHq_io,L13.8 A Simple Example,"MIT RES.6-012 Introduction to Probability, Spring 2018
View the complete course: https://ocw.mit.edu/RES-6-012S18
Instructor: John Tsitsiklis



License: Creative Commons BY-NC-SA
More information at https://ocw.mit.edu/terms
More courses at https://ocw.mit.edu",2018-04-24,389,en,4850,2026-06-25 15:52:54.791631
-1BnXEwHUok,4. Stochastic Thinking,"MIT 6.0002 Introduction to Computational Thinking and Data Science, Fall 2016
View the complete course: http://ocw.mit.edu/6-0002F16
Instructor: John Guttag

Prof. Guttag introduces stochastic processes and basic probability theory.

License: Creative Commons BY-NC-SA
More information at http://ocw.mit.edu/terms
More courses at http://ocw.mit.edu",2017-05-19,2990,en,32550,2026-06-25 15:53:35.180304
-2d9XooPwHo,"18. Hearing loss; demo by Sheila Xu, cochlear implant user","MIT 9.04 Sensory Systems, Fall 2013
View the complete course: http://ocw.mit.edu/9-04F13
Instructor: Chris Brown, Sheila Xu

This video covers the features and causes of hearing loss as well as cochlear implants and features a discussion with a cochlear implant user.

License: Creative Commons BY-NC-SA
More information at http://ocw.mit.edu/terms
More courses at http://ocw.mit.edu",2014-10-28,4942,en,61068,2026-06-25 15:54:21.501765
-3ixsZ7fBUI,Student Interview: Miriam Prosnitz,"MIT CMS.611J Creating Video Games, Fall 2014
View the complete course: http://ocw.mit.edu/CMS-611JF14
Instructor: Miriam Prosnitz

In this video, Miriam Prosnitz share her reflections about what she learned in the class and her advice for educators facilitating similar courses.  

License: Creative Commons BY-NC-SA
More information at http://ocw.mit.edu/terms
More courses at http://ocw.mit.edu",2015-12-10,195,en,3258,2026-06-25 15:55:11.177282
-3tiysis4BM,Lec 6 | Special Topics in Supply Chain Management,"Anti-Counterfeit Research / Time and Temperature Pedigree

Elgar Fleisch, University of St. Gallen and ETH Zurich
Jean-Pierre Emond, University of Florida, Gainesville
Mike Nicometto, Cool Chain Group

View the complete course at: http://ocw.mit.edu/ESD-290S05

License: Creative Commons BY-NC-SA
More information at http://ocw.mit.edu/terms
More courses at http://ocw.mit.edu",2008-04-28,3023,en,50447,2026-06-25 15:55:35.663242
-4C9-OgKLCY,What Cameras Can Do for You… and How They Do It!,"MIT RES.2-006 Girls Who Build Cameras, Summer 2016
View the complete course: http://ocw.mit.edu/RES-2-006SU16
Instructor: Kris Clark

Talk 2 - Kris Clark from the Lincoln Laboratory discusses cameras, components of a camera, and details about her project with space cameras.

License: Creative Commons BY-NC-SA
More information at http://ocw.mit.edu/terms
More courses at http://ocw.mit.edu",2020-08-10,1559,en,25148,2026-06-25 15:56:36.977221
