summary_type,group,video_count,duration_available_count,min_duration_seconds,max_duration_seconds,avg_duration_seconds
publish_year,2007,2,2,223,503,363.0
publish_year,2008,651,651,65,9775,3116.99
publish_year,2009,412,412,61,6754,3069.88
publish_year,2010,176,176,3,62937,2981.97
publish_year,2011,432,432,6,8683,1936.85
publish_year,2012,540,540,44,10332,2263.27
publish_year,2013,432,432,9,8759,2731.41
publish_year,2014,535,535,45,7744,3458.42
publish_year,2015,234,234,13,8254,3933.33
publish_year,2016,425,425,26,11047,1800.52
publish_year,2017,762,762,35,6392,1105.25
publish_year,2018,762,762,20,5050,785.88
publish_year,2019,595,595,23,6247,1974.23
publish_year,2020,371,371,27,5804,2680.92
publish_year,2021,330,330,31,5916,2060.08
publish_year,2022,241,241,21,6715,3058.61
publish_year,2023,325,325,101,6550,3348.93
publish_year,2024,329,328,52,6211,3589.49
publish_year,2025,305,305,63,6803,3131.69
publish_year,2026,162,162,43,22131,4249.19
source,1:MIT OpenCourseWare,8021,8020,,,2435.26
