video_id,title,playlist_count,playlist_ids,playlist_titles,metadata_course_code,playlist_course_code,final_course_code,metadata_domain,playlist_domain,final_domain
--Zi_cn4kPE,Laser fundamentals I: Spectrum of laser light | MIT Video Demonstrations in Lasers and Optics,1,PL4E7FAAD67B171EBC,MIT RES.6-006 Video Demonstrations in Lasers and Optics,unresolved,RES.6-006,RES.6-006,physics,physics,physics
--lPz7VFnKI,"Lec 39 | MIT 18.01 Single Variable Calculus, Fall 2007",1,PL590CCC2BC5AF3BC1,"MIT 18.01 Single Variable Calculus, Fall 2006",18.01,18.01,18.01,mathematics_statistics,mathematics_statistics,mathematics_statistics
-05tcR4izaw,Seminar 3: Jessica Sommerville - Infants' Sensitivity to Cost and Benefit,1,PLUl4u3cNGP61RTZrT3MIAikp2G5EEvTjf,"MIT RES.9-003 Brains, Minds and Machines Summer Course, Summer 2015",RES.9-003,RES.9-003,RES.9-003,biology_medicine_neuroscience,biology_medicine_neuroscience,biology_medicine_neuroscience
-0_vZ4t-q0I,"Linear ODE's with Periodic Input | MIT 18.03SC Differential Equations, Fall 2011",1,PL64BDFBDA2AF24F7E,"MIT 18.03SC Differential Equations, Fall 2011",18.03SC,18.03SC,18.03SC,mathematics_statistics,mathematics_statistics,mathematics_statistics
-0pzpXHq_io,L13.8 A Simple Example,1,PLUl4u3cNGP60hI9ATjSFgLZpbNJ7myAg6,"MIT RES.6-012 Introduction to Probability, Spring 2018",RES.6-012,RES.6-012,RES.6-012,mathematics_statistics,mathematics_statistics,mathematics_statistics
-1BnXEwHUok,4. Stochastic Thinking,1,PLUl4u3cNGP619EG1wp0kT-7rDE_Az5TNd,"MIT 6.0002 Introduction to Computational Thinking and Data Science, Fall 2016",6.0002,6.0002,6.0002,computer_science_ai_data,computer_science_ai_data,computer_science_ai_data
-2d9XooPwHo,"18. Hearing loss; demo by Sheila Xu, cochlear implant user",1,PLUl4u3cNGP63Wy1oqQW2oD2HBdDSY8Ghi,"MIT 9.04 Sensory Systems, Fall 2013",9.04,9.04,9.04,biology_medicine_neuroscience,biology_medicine_neuroscience,biology_medicine_neuroscience
-3ixsZ7fBUI,Student Interview: Miriam Prosnitz,1,PLUl4u3cNGP61V4W6yRm1Am5zI94m33dXk,"MIT CMS.611J Creating Video Games, Fall 2014",CMS.611J,CMS.611J,CMS.611J,education_communication_media,education_communication_media,education_communication_media
-3tiysis4BM,Lec 6 | Special Topics in Supply Chain Management,1,PLF9071540F59BA1F0,MIT ESD.290 Special Topics in Supply Chain Management,unresolved,ESD.290,ESD.290,economics_business_management,economics_business_management,economics_business_management
-4C9-OgKLCY,What Cameras Can Do for You… and How They Do It!,1,PLUl4u3cNGP615HAaYHGj9xugSAQay06Je,"MIT RES.2-006 Girls Who Build Cameras, Summer 2016",RES.2-006,RES.2-006,RES.2-006,unresolved,unresolved,unresolved
-56G36H8BvY,Instructor Interview: Teaching Heritage Learners in a Streamlined Language Course,1,PLUl4u3cNGP61o86bXQPx7oCAHDrkt316Y,"How We Teach: MIT 21G.107 Chinese I (Streamlined), Fall 2014",21G.107,21G.107,21G.107,unresolved,unresolved,unresolved
-5XT0Mzl72E,Lec 7 | MIT 14.01SC Principles of Microeconomics,1,PL61533C166E8B0028,MIT 14.01SC Principles of Microeconomics,14.01SC,14.01SC,14.01SC,economics_business_management,economics_business_management,economics_business_management
-630YTQEuCI,S01.0 Mathematical Background Overview,1,PLUl4u3cNGP60hI9ATjSFgLZpbNJ7myAg6,"MIT RES.6-012 Introduction to Probability, Spring 2018",RES.6-012,RES.6-012,RES.6-012,mathematics_statistics,mathematics_statistics,mathematics_statistics
-63JXElqPaY,9. Verification and Validation,1,PLUl4u3cNGP60jIMmB53zl6awCKMnABhYx,"MIT 16.842 Fundamentals of Systems Engineering, Fall 2015",16.842,16.842,16.842,engineering,engineering,engineering
-6A59LiKUss,Lecture 16: Bayesian Games,1,PLUl4u3cNGP63quuKvMHCt3cmTmt0O2qpv,"MIT 14.12 Economic Applications of Game Theory, Fall 2025",14.12,14.12,14.12,economics_business_management,economics_business_management,economics_business_management
-7dYXCHtTFY,1. This Course and The U.S. Energy System,1,PLUl4u3cNGP62JKM25M14gy0qaHWx3QyjP,"MIT 15.031J Energy Decisions, Markets, Policies, Spring 2012",15.031J,15.031J,15.031J,economics_business_management,economics_business_management,economics_business_management
-8kB7xIdKSM,Lecture 18: Case Study in Reacting Gas Mixtures - Introducing the Nernst Equation,1,PLUl4u3cNGP61g-yRbJz4ghFPJLiok1HxX,"MIT 3.020 Thermodynamics of Materials, Spring 2021",3.020,3.020,3.020,engineering,engineering,engineering
-8mPXAsX3DY,The simplest quantum system,1,PLUl4u3cNGP60cspQn3N9dYRPiyVWDd80G,"MIT 8.04 Quantum Physics I, Spring 2016",8.04,8.04,8.04,physics,physics,physics
-AHhHlk8AbI,Biofuels Sub-task Presentation II,1,PL3C69700955EB813B,"MIT 22.033 Nuclear Systems Design Project, Fall 2011",22.033,22.033,22.033,engineering,engineering,engineering
-B96m5X2xCM,Lec 7 | MIT 3.320 Atomistic Computer Modeling of Materials,1,PL13CB8C2EDA4453ED,MIT 3.320 Atomistic Computer Modeling of Materials,3.320,3.320,3.320,engineering,engineering,engineering
-BYC6cNSO78,"Lec 19 | MIT Finite Element Procedures for Solids and Structures, Nonlinear Analysis",1,PL75C727EA9F6A0E8B,MIT Nonlinear Finite Element Analysis,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
-CASb3VeZRg,8. Macro Approaches to Consumption Smoothing and Risk Sharing,1,PLUl4u3cNGP63-t0r0aC3noJiIOmj33S_Q,"MIT 14.772 Development Economics: Macroeconomics, Spring 2013",14.772,14.772,14.772,economics_business_management,economics_business_management,economics_business_management
-CsEPYeSBsg,"Closest Point to the Origin | MIT 18.01SC Single Variable Calculus, Fall 2010",1,PL21BCE50ABFF029F1,MIT 18.01SC: Homework Help for Single Variable Calculus,18.01SC,18.01SC,18.01SC,mathematics_statistics,mathematics_statistics,mathematics_statistics
-Cve_SI6LQs,25. Neoliberalism and the End of History - Part 7: Human Rights and Voting Rights,1,PLUl4u3cNGP62ihmDWYj4LMPMdHBHiPa_7,"MIT 24.912 Introduction to Black Studies, Spring 2017",24.912,24.912,24.912,humanities_social_science,humanities_social_science,humanities_social_science
-D4GDdxJrpg,Laplace Equation,1,PLUl4u3cNGP63oTpyxCMLKt_JmB0WtSZfG,MIT Learn Differential Equations,RES.18-009,unresolved,RES.18-009,mathematics_statistics,unresolved,mathematics_statistics
-DP1i2ZU9gk,8. Object Oriented Programming,1,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,6.0001 Introduction to Computer Science and Programming in Python. Fall 2016,6.0001,unresolved,6.0001,computer_science_ai_data,unresolved,computer_science_ai_data
-DwGrJ8JxDc,Recitation 9b: DNA Sequence Matching,1,PLUl4u3cNGP61Oq3tWYp6V_F-5jb5L2iHb,"MIT 6.006 Introduction to Algorithms, Fall 2011",6.006,6.006,6.006,computer_science_ai_data,computer_science_ai_data,computer_science_ai_data
-EQTVuAhSFY,"Lec 3 | MIT 6.046J / 18.410J Introduction to Algorithms (SMA 5503), Fall 2005",1,PL8B24C31197EC371C,"MIT 6.046J / 18.410J Introduction to Algorithms (SMA 5503),",6.046J,6.046J,6.046J,computer_science_ai_data,computer_science_ai_data,computer_science_ai_data
-EgKluVR2Ug,"Lec 19 | MIT 2.830J Control of Manufacturing Processes, S08",1,PL7CF97E01FDE7C51A,"MIT 2.830J, Control of Manufacturing Processes S08",2.830J,2.830J,2.830J,engineering,engineering,engineering
