playlist_id,playlist_title,playlist_item_count,matched_transcript_videos
PLUl4u3cNGP60hI9ATjSFgLZpbNJ7myAg6,"MIT RES.6-012 Introduction to Probability, Spring 2018",266,11
PLUl4u3cNGP61Q_FSXJUGkDJs1SMj5teGq,"MIT 15.071 The Analytics Edge, Spring 2017",193,7
PLUl4u3cNGP61qDex7XslwNJ-xxxEFzMNV,"MIT 8.01SC Classical Mechanics, Fall 2016",215,6
PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,"MIT 8.06 Quantum Physics III, Spring 2018",100,6
PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,"MIT 6.004 Computation Structures, Spring 2017",172,5
PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,6.0001 Introduction to Computer Science and Programming in Python. Fall 2016,38,4
PLUl4u3cNGP6393Jj6WMmNd1_pOs0UDq2R,"How We Teach: MIT 8.13-14 Experimental Physics I & II “Junior Lab”, Fall 2016 - Spring 2017",48,4
PLUl4u3cNGP62JKM25M14gy0qaHWx3QyjP,"MIT 15.031J Energy Decisions, Markets, Policies, Spring 2012",21,4
PL21BCE50ABFF029F1,MIT 18.01SC: Homework Help for Single Variable Calculus,87,4
PLUl4u3cNGP60UlabZBeeqOuoLuj_KNphQ,"MIT 6.042J Mathematics for Computer Science, Spring 2015",111,4
PL9F0B2048DA4690AF,"MIT 7.012 Introduction to Biology, Fall 2004",35,4
PLUl4u3cNGP60cspQn3N9dYRPiyVWDd80G,"MIT 8.04 Quantum Physics I, Spring 2016",115,4
PLUl4u3cNGP63Wy1oqQW2oD2HBdDSY8Ghi,"MIT 9.04 Sensory Systems, Fall 2013",23,4
PLUl4u3cNGP62-vPzt_GMdZRflJPjNdspG,"MIT RES.10-S95 Physics of COVID-19 Transmission, Fall 2020",49,4
PLUl4u3cNGP63quuKvMHCt3cmTmt0O2qpv,"MIT 14.12 Economic Applications of Game Theory, Fall 2025",25,3
PLUl4u3cNGP63UUkfL0onkxF6MYgVa04Fn,"MIT 15.S12 Blockchain and Money, Fall 2018",23,3
PL590CCC2BC5AF3BC1,"MIT 18.01 Single Variable Calculus, Fall 2006",35,3
PLF07555F3CC669D01,MIT 18.02SC: Homework Help for Multivariable Calculus,70,3
PLUl4u3cNGP63jpW5Wg3MpmJIei_PCS_03,"MIT 2.57 Nano-to-Micro Transport Processes, Spring 2012",25,3
