playlist_id,title,description,published_at,item_count
PLUl4u3cNGP63UuOS_DSdoIYvIrbQHXYfF,"Projects for PE.920 PE For ME, Spring 2005","View the complete course: https://ocw.mit.edu/courses/pe-920-pe-for-me-spring-2005/
YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP63UuOS_DSdoIYvIrbQHXYfF

Throughout the semester, students learned about concepts in physical intelligence, and developed prototypes of innovative exercise equipement. Images and movies of the class sessions describe that learning and the design of the prototypes. All images and work are courtesy of the students from the class and used with permission.

License: Creative Commons BY-NC-SA
More information at https://ocw.mit.edu/terms
More courses at https://ocw.mit.edu
Support OCW at http://ow.ly/a1If50zVRlQ

We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.",2026-06-24T18:00:33.543752Z,11
PLUl4u3cNGP63l-qmLMPGC0Z6ePHdZ1tQG,"MagLev Demonstration for MIT 2.003 Modeling Dynamics and Control I, Spring 2005","View the complete course: https://ocw.mit.edu/courses/2-003-modeling-dynamics-and-control-i-spring-2005/
YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP63l-qmLMPGC0Z6ePHdZ1tQG

Movies of the MagLev in action.

License: Creative Commons BY-NC-SA
More information at https://ocw.mit.edu/terms
More courses at https://ocw.mit.edu
Support OCW at http://ow.ly/a1If50zVRlQ

We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.",2026-06-23T20:22:49.101005Z,7
PLUl4u3cNGP61GIZ2gdRo6nr0Jzc14Z0yt,"Testing Student-designed Remotely Operated Vehicles for MIT 2.00AJ Exploring Sea, Space, & Earth: Fundamentals of Engineering Design, Spring 2009","MIT 2.00AJ Exploring Sea, Space, & Earth: Fundamentals of Engineering Design, Spring 2009

View the complete course: https://ocw.mit.edu/courses/2-00aj-exploring-sea-space-earth-fundamentals-of-engineering-design-spring-2009/
YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP61GIZ2gdRo6nr0Jzc14Z0yt

License: Creative Commons BY-NC-SA
More information at https://ocw.mit.edu/terms
More courses at https://ocw.mit.edu
Support OCW at http://ow.ly/a1If50zVRlQ

We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.",2026-06-18T17:55:58.754397Z,6
PLUl4u3cNGP63zOJ2ghegx1NMxacTm4rYT,"Project Videos for EC.S06 Practical Electronics, Fall 2004","View the complete course: https://ocw.mit.edu/courses/ec-s06-practical-electronics-fall-2004/
YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP63zOJ2ghegx1NMxacTm4rYT

License: Creative Commons BY-NC-SA
More information at https://ocw.mit.edu/terms
More courses at https://ocw.mit.edu
Support OCW at http://ow.ly/a1If50zVRlQ

We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.",2026-06-17T19:02:10.226377Z,7
PLUl4u3cNGP631T73sX-st9yEnrZ-pqAhX,Supplemental diffusion videos for slides 24-27 for HST.583 Fall 2008,"MIT HST.583 Functional Magnetic Resonance Imaging: Data Acquisition and Analysis, Fall 2008
Instructor: Dr. Randy Gollub

View the complete course: https://ocw.mit.edu/courses/hst-583-functional-magnetic-resonance-imaging-data-acquisition-and-analysis-fall-2008/
YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP631T73sX-st9yEnrZ-pqAhX

License: Creative Commons BY-NC-SA
More information at https://ocw.mit.edu/terms
More courses at https://ocw.mit.edu
Support OCW at http://ow.ly/a1If50zVRlQ

We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.",2026-06-17T18:23:23.158253Z,4
PLUl4u3cNGP61hrs8_s2hZrALZBPpKlE4U,"Suburbia Soundtrack (from MIT 21M.873 Theater Arts Topics - Suburbia, IAP 2008)","View the complete course: https://ocw.mit.edu/courses/6-781j-submicrometer-and-nanometer-technology-spring-2006
YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP60S6tBzXVmcUnSv4El6QkSt

MIT student bands were selected to perform the soundtrack for the show, a mix of covers and original songs. Listed below is the song order; some recordings of the original tracks are provided, along with videos of the intermission show. All files are provided courtesy of the bands, and used with their permission.

License: Creative Commons BY-NC-SA
More information at https://ocw.mit.edu/terms
More courses at https://ocw.mit.edu
Support OCW at http://ow.ly/a1If50zVRlQ

We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.",2026-06-05T18:08:37.120715Z,13
PLUl4u3cNGP60S6tBzXVmcUnSv4El6QkSt,"Demo Movies for MIT 6.781J Submicrometer and Nanometer Technology, Spring 2006","Instructor: Bob Barsotti, Bryan Cord, Ben Wunsch

View the complete course: https://ocw.mit.edu/courses/6-781j-submicrometer-and-nanometer-technology-spring-2006
YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP60S6tBzXVmcUnSv4El6QkSt

This course surveys techniques to fabricate and analyze submicron and nanometer structures, with applications. Optical and electron microscopy is reviewed. Additional topics that are covered include: surface characterization, preparation, and measurement techniques, resist technology, optical projection, interferometric, X-ray, ion, and electron lithography; Aqueous, ion, and plasma etching techniques; lift-off and electroplating; and ion implantation. Applications in microelectronics, microphotonics, information storage, and nanotechnology will also be explored.

License: Creative Commons BY-NC-SA
More information at https://ocw.mit.edu/terms
More courses at https://ocw.mit.edu
Support OCW at http://ow.ly/a1If50zVRlQ

We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.",2026-06-05T16:13:13.438621Z,7
PLUl4u3cNGP62t1Ub1C6XazHCkbiTE48TA,"MIT ESD.57 Technology-based Business Transformation, Fall 2007(Select Lectures)","Instructor: Irving Wladawsky-Berger

*NOTE: only select lectures available.

View the complete course: https://ocw.mit.edu/courses/esd-57-technology-based-business-transformation-fall-2007
YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP62t1Ub1C6XazHCkbiTE48TA

This course covers how to leverage major technology advances to significantly transform a business in the marketplace. There is a focus on major issues a business must deal with to transform its technical and market strategies successfully, including the organizational and cultural aspects that often cause such business transformations to fail. Class material draws from concrete experiences of IBM’s major transformation in the late 1990s, when it aggressively embraced the Internet and came up with its e-business strategy.

License: Creative Commons BY-NC-SA
More information at https://ocw.mit.edu/terms
More courses at https://ocw.mit.edu
Support OCW at http://ow.ly/a1If50zVRlQ

We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.",2026-05-27T11:36:22.590624Z,6
PLUl4u3cNGP62NmnKzljcNJDduJNUeHrZ8,Celebrating 25 years of MIT OpenCourseWare,"Celebrate 25 years of MIT OpenCourseWare (OCW)—a bold experiment that became a global movement. This symposium brings together learners, educators, supporters, open knowledge leaders, and the MIT community to honor OCW’s extraordinary impact and to chart the future of open education.

Since its launch in 2001, OCW has empowered millions worldwide with free access to MIT course materials. This anniversary offers a moment to recognize the vibrant ecosystem that sustains open knowledge as a public good—and to reaffirm MIT’s mission-driven leadership in ensuring that high-quality learning remains accessible to all.

This is an engaging, dynamic, and celebratory program featuring MIT leadership, pioneering faculty, global learners, open education innovators, and philanthropic partners. Together, we explore OCW’s legacy, its role in the evolving open ecosystem, and the opportunities and challenges ahead.

You and your support can shape the next 25 years of MIT OpenCourseWare. Help us reach 500 million more learners with free, open, and personalized MIT resources through our MIT Crowdfunding campaign: https://crowdfund.mit.edu/story/OpenCourseWare-S26",2026-05-05T16:42:19.693594Z,7
PLUl4u3cNGP60q1Ib4pyz_FBs_lYUPr9MN,"MIT RES.12-003 Fluid Motions, Sediment Transport, and Current-Generated Sedimentary Structures, Fall 2025","Instructor: John Southard

View the complete course: https://ocw.mit.edu/courses/res-12-003-fluid-motions-sediment-transport-and-current-generated-sedimentary-structures-fall-2025/
YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP60q1Ib4pyz_FBs_lYUPr9MN

This short course provides materials on aspects of fluid dynamics relevant to the transport of sediments by wind and by water.

License: Creative Commons BY-NC-SA
More information at https://ocw.mit.edu/terms
More courses at https://ocw.mit.edu
Support OCW at http://ow.ly/a1If50zVRlQ

We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.",2026-04-29T15:18:36.138425Z,4
