video_id,playlist_id,playlist_title,position,item_published_at
--Zi_cn4kPE,PL4E7FAAD67B171EBC,MIT RES.6-006 Video Demonstrations in Lasers and Optics,37,2012-06-15T19:06:48Z
--lPz7VFnKI,PL590CCC2BC5AF3BC1,"MIT 18.01 Single Variable Calculus, Fall 2006",34,2009-09-09T19:10:07Z
-05tcR4izaw,PLUl4u3cNGP61RTZrT3MIAikp2G5EEvTjf,"MIT RES.9-003 Brains, Minds and Machines Summer Course, Summer 2015",16,2018-04-03T16:45:33Z
-0_vZ4t-q0I,PL64BDFBDA2AF24F7E,"MIT 18.03SC Differential Equations, Fall 2011",43,2012-01-04T22:22:59Z
-0pzpXHq_io,PLUl4u3cNGP60hI9ATjSFgLZpbNJ7myAg6,"MIT RES.6-012 Introduction to Probability, Spring 2018",138,2018-04-24T16:37:50Z
-1BnXEwHUok,PLUl4u3cNGP619EG1wp0kT-7rDE_Az5TNd,"MIT 6.0002 Introduction to Computational Thinking and Data Science, Fall 2016",3,2017-05-19T14:22:39Z
-2d9XooPwHo,PLUl4u3cNGP63Wy1oqQW2oD2HBdDSY8Ghi,"MIT 9.04 Sensory Systems, Fall 2013",17,2014-10-28T15:11:10Z
-3ixsZ7fBUI,PLUl4u3cNGP61V4W6yRm1Am5zI94m33dXk,"MIT CMS.611J Creating Video Games, Fall 2014",41,2015-12-10T20:42:46Z
-3tiysis4BM,PLF9071540F59BA1F0,MIT ESD.290 Special Topics in Supply Chain Management,5,2008-04-28T19:50:32Z
-4C9-OgKLCY,PLUl4u3cNGP615HAaYHGj9xugSAQay06Je,"MIT RES.2-006 Girls Who Build Cameras, Summer 2016",2,2020-08-10T18:11:20Z
-56G36H8BvY,PLUl4u3cNGP61o86bXQPx7oCAHDrkt316Y,"How We Teach: MIT 21G.107 Chinese I (Streamlined), Fall 2014",3,2016-02-10T19:59:42Z
-5XT0Mzl72E,PL61533C166E8B0028,MIT 14.01SC Principles of Microeconomics,6,2012-01-24T21:48:21Z
-630YTQEuCI,PLUl4u3cNGP60hI9ATjSFgLZpbNJ7myAg6,"MIT RES.6-012 Introduction to Probability, Spring 2018",10,2018-04-24T16:40:27Z
-63JXElqPaY,PLUl4u3cNGP60jIMmB53zl6awCKMnABhYx,"MIT 16.842 Fundamentals of Systems Engineering, Fall 2015",18,2017-08-10T16:17:43Z
-6A59LiKUss,PLUl4u3cNGP63quuKvMHCt3cmTmt0O2qpv,"MIT 14.12 Economic Applications of Game Theory, Fall 2025",15,2026-05-18T16:01:31Z
-7dYXCHtTFY,PLUl4u3cNGP62JKM25M14gy0qaHWx3QyjP,"MIT 15.031J Energy Decisions, Markets, Policies, Spring 2012",0,2013-03-29T15:06:17Z
-8kB7xIdKSM,PLUl4u3cNGP61g-yRbJz4ghFPJLiok1HxX,"MIT 3.020 Thermodynamics of Materials, Spring 2021",20,2023-10-23T13:54:27Z
-8mPXAsX3DY,PLUl4u3cNGP60cspQn3N9dYRPiyVWDd80G,"MIT 8.04 Quantum Physics I, Spring 2016",112,2017-07-05T16:20:40Z
-AHhHlk8AbI,PL3C69700955EB813B,"MIT 22.033 Nuclear Systems Design Project, Fall 2011",8,2012-07-24T19:05:18Z
-B96m5X2xCM,PL13CB8C2EDA4453ED,MIT 3.320 Atomistic Computer Modeling of Materials,5,2008-04-29T19:57:13Z
-BYC6cNSO78,PL75C727EA9F6A0E8B,MIT Nonlinear Finite Element Analysis,18,2011-06-13T20:14:48Z
