playlist_item_id,playlist_id,playlist_position,video_id,playlist_title,item_published_at,video_in_postgres,postgres_title,publish_date,duration_seconds,transcript_in_bronze,transcript_in_postgres,latest_checkpoint_status,target_status,fetch_candidate,requires_manual_review
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS5GNDg1Njc1QzZERjlFRjE5,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,0,nykOeWgQcHM,1. What is Computation?,2019-07-31T15:15:20Z,True,1. What is Computation?,2019-07-31,2586,False,False,,not_attempted,True,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS5BRjJDODk5REM0NjkzMUIy,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,1,Y6J8I056Ffw,Shell vs. Editor,2017-02-15T14:26:28Z,True,Shell vs. Editor,2017-02-15,80,False,False,,not_attempted,True,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS45ODRDNTg0QjA4NkFBNkQy,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,2,F-_PKUUM-qY,Python vs. Math,2017-02-15T14:25:51Z,True,Python vs. Math,2017-02-15,97,False,False,,not_attempted,True,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS41QUZGQTY5OTE4QTREQUU4,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,3,EFCdr_43qmU,Bindings,2017-02-15T14:26:26Z,True,Bindings,2017-02-15,100,False,False,,not_attempted,True,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS45NDk1REZENzhEMzU5MDQz,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,4,0jljZRnHwOI,2. Branching and Iteration,2017-02-15T14:25:50Z,True,2. Branching and Iteration,2017-02-15,2611,False,False,,not_attempted,True,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS4xMkVGQjNCMUM1N0RFNEUx,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,5,w4uxYDPsjbw,Strings,2017-02-15T14:25:49Z,True,Strings,2017-02-15,53,False,False,,not_attempted,True,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS41Mzk2QTAxMTkzNDk4MDhF,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,6,lniF6ys2CIk,Comparisons,2017-02-15T14:25:51Z,True,Comparisons,2017-02-15,83,False,False,,not_attempted,True,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS40NzZCMERDMjVEN0RFRThB,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,7,jjbWNcIjmzc,Branching,2017-02-15T14:25:50Z,True,Branching,2017-02-15,66,False,False,,not_attempted,True,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS41MzJCQjBCNDIyRkJDN0VD,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,8,P-0w8xWcnDQ,While Loops,2017-02-15T14:25:49Z,True,While Loops,2017-02-15,111,False,False,,not_attempted,True,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS4yMDhBMkNBNjRDMjQxQTg1,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,9,mrvBnZIEsZY,For Loops,2017-02-15T14:25:53Z,True,For Loops,2017-02-15,115,False,False,,not_attempted,True,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS5EMEEwRUY5M0RDRTU3NDJC,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,10,SE4P7IVCunE,"3. String Manipulation, Guess and Check, Approximations, Bisection",2017-02-15T14:25:51Z,True,"3. String Manipulation, Guess and Check, Approximations, Bisection",2017-02-15,2702,False,False,,not_attempted,True,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS42MTI4Njc2QjM1RjU1MjlG,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,11,-jjUoTiaSHw,String Manipulations,2017-02-15T14:26:27Z,True,String Manipulations,2017-02-15,185,True,True,success,already_available,False,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS43MTI1NDIwOTMwQjIxMzNG,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,12,4WtaFLayz_w,For Loops With Strings,2017-02-15T14:25:58Z,True,For Loops With Strings,2017-02-15,259,False,False,,not_attempted,True,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS5DQUNERDQ2NkIzRUQxNTY1,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,13,MjbuarJ7SE0,"4. Decomposition, Abstraction, and Functions",2017-02-15T14:25:50Z,True,"4. Decomposition, Abstraction, and Functions",2017-02-15,2469,False,False,,not_attempted,True,False
