metric,value
scope_version,mit_60001_fall_2016_v1
target_payloads,38
unique_target_video_ids,38
total_segments,12518
payload_schema_fields,6
segment_schema_fields,3
schema_fields_failed,0
unexpected_payload_fields,
unexpected_segment_fields,
language_codes,en
language_names,English - CC | English - CC (English)
generated_payloads,0
manual_payloads,38
minimum_segment_count,16
maximum_segment_count,1262
average_segment_count,329
minimum_transcript_length,653
maximum_transcript_length,49645
average_transcript_length,13243
payloads_with_validation_failure,0
unparseable_fetched_at,0
empty_segments,0
segments_with_edge_whitespace,0
multiline_segments,9048
invalid_segment_starts,0
nonpositive_segment_durations,0
out_of_order_segments,0
overlapping_segment_pairs,1450
validation_failures,0
validation_status,passed
segments_with_lf_or_cr,9048
segments_with_cr,0
segments_with_tab,0
segments_with_nbsp,0
segments_with_zero_width_character,0
segments_with_replacement_character,0
non_nfc_segments,0
segments_with_multiple_ascii_spaces,0
segments_with_line_edge_whitespace,0
bracket_only_cue_segments,7
parenthetical_only_cue_segments,0
html_tag_segments,0
html_entity_segments,0
exact_adjacent_duplicates,7
normalized_adjacent_duplicates,0
adjacent_text_containment_pairs,15
